token,group,controller,ann_vol,rolling_vol_14,rolling_dd_14,worst_day_pct,max_drawdown,expected_shortfall_5,drift_preservation,terminal_log_excess,rolling_vol_reduction,rolling_dd_reduction,worst_day_reduction,avg_lock,peak_lock,avg_tax,reserve_depletion
COMP,DeFi-volatile,SRF (no tax),0.9189579277054687,0.8789871052966968,0.1395646220305068,0.1816714385200023,0.6578767437295319,-0.11555389170438213,0.6428726831775833,0.4752236766979598,0.16783523056459107,0.2208657529906656,0.14185576832091823,0.17920104342839133,0.55,0.0,0.9976053887173147
COMP,DeFi-volatile,Full SRF,0.9627236236582488,0.9300595835210042,0.13257858189953856,0.19755065430503221,0.5755564609769402,-0.11960814146490376,0.8410998115406679,0.6197950346482294,0.11956057226560643,0.2581758401600247,0.07818193978249313,0.1893969745816707,0.55,0.02575799111501948,0.5748324988797041
UNI,DeFi-volatile,No intervention,0.9630685528851993,0.8902673298349321,0.15030066444786502,0.1785390180431466,0.7175755871199686,-0.12391535456807719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,DeFi-volatile,Lock-only,0.7660952336723318,0.7243229998415891,0.12267044588471365,0.15508437496740357,0.6255282345251707,-0.09542581299628146,0.3987890654279671,0.242114059520626,0.18594339370886936,0.1824262574580778,0.13233009278661884,0.15772236811101567,0.55,0.0,0.0
UNI,DeFi-volatile,PD,0.9910872156779149,0.9288503924842324,0.14569033515384908,0.18037759782306048,0.6668894080347295,-0.12579088541546576,0.11731999734795359,0.010494029367436453,-0.043572931429856694,0.03060873863116085,-0.012762510580232261,0.0,0.0,0.0,0.9804350126389325
UNI,DeFi-volatile,SRF (no tax),0.7953278066296988,0.7655696564973231,0.11652316986845157,0.15089904007681998,0.5423934559872468,-0.09736939392727846,0.5149354115104323,0.3451176090520186,0.13937431868825864,0.22343642594791083,0.14851647053593559,0.1694417272437337,0.55,0.0,0.9314655045218702
UNI,DeFi-volatile,Full SRF,0.8324686301098543,0.8066238336406684,0.1132744552464369,0.16928595968788934,0.4890811509936756,-0.10170157354846095,0.5707101198409813,0.3638671354254667,0.09338011578412309,0.24295855045681702,0.04851803004830792,0.17806870576092798,0.55,0.02226546599161528,0.40156265951420034
CRV,DeFi-volatile,No intervention,1.269542714279426,1.168475870408348,0.19569049276307024,0.23492321460628734,0.8327973706388268,-0.1669788577195141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,DeFi-volatile,Lock-only,0.9787412680361136,0.9232230587457604,0.15600138197820954,0.2012701062340963,0.7391152476900047,-0.1235119166027326,0.6689374399607365,0.4860779170925692,0.20944255951048926,0.20150667353428586,0.14499429884812995,0.17868265170223077,0.55,0.0,0.0
CRV,DeFi-volatile,PD,1.2891315496659899,1.1965673530586283,0.1918073544403299,0.23455800690990786,0.8172111462438447,-0.16796657790998018,0.0746805036889906,0.019796515447210845,-0.024051239185443274,0.020070205495076845,0.0016035309752130782,0.0,0.0,0.0,0.9999300599724161
CRV,DeFi-volatile,SRF (no tax),0.9990085850177589,0.9539174380499856,0.15065198390743184,0.20167849149638467,0.687301031529562,-0.12524373622569135,0.7314409638455567,0.5510111441862133,0.1830026218529994,0.2286367336648937,0.1379932282831108,0.18560545697050573,0.55,0.0,0.9987725519121481
CRV,DeFi-volatile,Full SRF,1.0499879467760764,1.0122218888275492,0.14354303009711944,0.21972093617276336,0.6013245827527878,-0.13169975679365928,0.9099611610721983,0.6984392809627055,0.13313647260827954,0.26349528704464664,0.06980902571980623,0.19532789378476317,0.55,0.02651984911938086,0.6553287842815545
BAND,DeFi-volatile,No intervention,1.3926168664593825,1.279759286637714,0.21100443319476683,0.25698374254661227,0.853408960006542,-0.1841888527030627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAND,DeFi-volatile,Lock-only,1.063482431560699,1.0022269168200064,0.1669735470452392,0.2210625139323282,0.759687840476923,-0.13451221836311328,0.7655518944486208,0.5658036810736128,0.21643010636270638,0.2073704726309414,0.14193711639072012,0.18496850369899578,0.55,0.0,0.0
BAND,DeFi-volatile,PD,1.4089872393854141,1.304472812142201,0.20737566686414688,0.2573450559968592,0.841896611874249,-0.18457567550179407,0.042144732384045626,0.008148417344812328,-0.019395710154802067,0.017159579956855527,-0.0021125287985254595,0.0,0.0,0.0,0.9999830545218845
BAND,DeFi-volatile,SRF (no tax),1.085510588597476,1.0340207118560223,0.16270232700790413,0.22440153731504103,0.7180036204741335,-0.13674883997198212,0.7932594478742919,0.5779930122141316,0.19135536909118228,0.22748958640361897,0.1257347001202089,0.19066949846862075,0.55,0.0,0.9996777391010381
BAND,DeFi-volatile,Full SRF,1.1272197770180001,1.0859010784251981,0.15390590155043385,0.2312180169335219,0.6330926680449848,-0.14065276248874903,0.9864026374884617,0.7489234654427586,0.15076288426795642,0.2678514231497506,0.10637889582840185,0.19968167762488806,0.55,0.029021600251318797,0.7275763087699278
